                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0267,                 4.2132,                 4.6436,                0.00458,                0.92537,                0.00566,                0.00154,                 2.7919,                 3.6989,                 4.1584,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.7979,                 3.9685,                  4.616,                0.00456,                0.92537,                0.00557,                0.00161,                 2.7907,                 3.6993,                 4.1583,             0.00017822,             0.00017822,             0.00017822
                      3,                 2.7686,                  3.788,                 4.3074,                0.00452,                0.92537,                 0.0056,                0.00145,                 2.7908,                 3.6985,                 4.1598,             0.00027446,             0.00027446,             0.00027446
                      4,                 2.8889,                 3.4537,                 4.1177,                0.00442,                0.92537,                0.00534,                0.00147,                 2.7923,                 3.6984,                 4.1634,             0.00036871,             0.00036871,             0.00036871
                      5,                 2.5543,                 3.4572,                 3.9478,                0.00444,                0.92537,                0.00607,                0.00169,                  2.796,                 3.6996,                 4.1737,             0.00046099,             0.00046099,             0.00046099
                      6,                 2.6241,                 3.2432,                 3.7893,                0.00442,                0.92537,                0.00652,                0.00185,                 2.7971,                 3.6946,                  4.184,             0.00055129,             0.00055129,             0.00055129
                      7,                 2.5734,                 3.0246,                 3.8099,                0.00447,                0.92537,                0.00756,                0.00209,                 2.7952,                 3.6777,                 4.2027,             0.00063961,             0.00063961,             0.00063961
                      8,                 2.7715,                 2.9312,                 3.7109,                0.00427,                0.92537,                0.00664,                0.00185,                 2.7987,                 3.6645,                 4.2244,             0.00072595,             0.00072595,             0.00072595
                      9,                 2.6189,                 2.8095,                 3.5191,                0.00423,                0.92537,                0.00662,                0.00183,                 2.8136,                 3.6295,                 4.2642,              0.0008103,              0.0008103,              0.0008103
                     10,                 2.5303,                 2.8674,                 3.5147,                0.00422,                0.92537,                0.00669,                0.00187,                 2.7971,                 3.6227,                 4.2739,             0.00089268,             0.00089268,             0.00089268
                     11,                  2.295,                 2.5686,                  3.412,                0.00427,                0.92537,                0.00697,                0.00204,                 2.7599,                 3.6219,                  4.269,             0.00097308,             0.00097308,             0.00097308
                     12,                 2.4006,                 2.4992,                 3.3676,                0.00427,                0.92537,                0.00677,                0.00205,                  2.735,                 3.6298,                 4.2725,              0.0010515,              0.0010515,              0.0010515
                     13,                 2.5748,                 2.6654,                 3.3931,                0.00426,                0.92537,                0.00669,                0.00197,                 2.7634,                 3.6629,                 4.3031,              0.0011279,              0.0011279,              0.0011279
                     14,                 2.3083,                 2.3922,                 3.2828,                0.00425,                0.92537,                0.00663,                0.00205,                 2.7331,                 3.8212,                 4.2968,              0.0012024,              0.0012024,              0.0012024
                     15,                 2.5288,                 2.2847,                 3.2494,                0.00411,                0.89552,                0.00452,                0.00131,                 2.7838,                 3.8247,                 4.3571,              0.0012749,              0.0012749,              0.0012749
                     16,                 2.3628,                  2.186,                 3.1171,                0.00438,                0.95522,                0.00478,                0.00134,                 2.7752,                 3.7492,                 4.3598,              0.0013454,              0.0013454,              0.0013454
                     17,                 2.2452,                  2.187,                  3.058,                0.00454,                0.98507,                0.06124,                0.03914,                 2.6033,                 3.7575,                 4.2682,              0.0014139,              0.0014139,              0.0014139
                     18,                 2.3613,                 2.2752,                 3.0619,                0.89083,                 0.0597,                0.06181,                0.02316,                  2.456,                 3.8256,                 4.1573,              0.0014804,              0.0014804,              0.0014804
                     19,                 2.4311,                 2.1125,                 3.0178,                0.00647,                 0.8806,                0.08971,                0.02757,                 2.2383,                 3.8047,                 3.9244,               0.001545,               0.001545,               0.001545
                     20,                 2.4147,                 2.1601,                 3.0762,                 0.8811,                0.13433,                 0.2009,                 0.0796,                 2.0217,                 3.6213,                 3.5567,              0.0016076,              0.0016076,              0.0016076
                     21,                 2.4305,                 2.3514,                 3.0498,                0.35778,                0.08955,                 0.0867,                0.03477,                 1.9175,                 3.7268,                 3.1988,               0.001604,               0.001604,               0.001604
                     22,                 2.5985,                  2.271,                 3.1524,                0.36989,                0.62687,                0.28576,                0.11665,                 2.1448,                 3.1572,                 3.3458,               0.001604,               0.001604,               0.001604
                     23,                 2.1769,                 2.1038,                 2.9022,                0.25875,                0.70149,                 0.4102,                0.15881,                 2.0828,                 9.7001,                 3.5963,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.2026,                 2.0092,                 2.8771,                0.66478,                0.01493,                0.02388,                0.00485,                 2.1555,                 3.8064,                 3.3737,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.1105,                 2.0177,                 2.8222,                0.44926,                0.01493,                0.00953,                0.00148,                 2.0711,                 4.4496,                 3.3238,              0.0015446,              0.0015446,              0.0015446
                     26,                  2.397,                 2.0804,                 3.0675,                 0.0022,                 0.1791,                0.00224,                0.00089,                 1.8545,                 4.3948,                 3.0173,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.3357,                 2.0631,                 3.0048,                0.44199,                0.01493,                0.10752,                0.04258,                 1.7718,                 3.6209,                 2.9567,               0.001505,               0.001505,               0.001505
                     28,                 2.2327,                 1.9208,                 2.8626,                      1,                0.57564,                 0.8538,                0.37522,                 1.8432,                 2.4086,                 2.6982,              0.0014852,              0.0014852,              0.0014852
                     29,                   2.14,                  1.861,                 2.8837,                0.00988,                0.92537,                0.01444,                0.00697,                 1.7514,                 3.8039,                 2.6401,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1075,                 1.9566,                  2.882,                0.00461,                0.43284,                0.00335,                0.00083,                 1.6624,                 4.1661,                 2.7182,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.9681,                 1.7461,                 2.7018,                0.00873,                0.92537,                 0.0115,                0.00401,                   1.61,                 3.8712,                 2.6281,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.0109,                 1.7575,                 2.8097,                0.00863,                      1,                0.18246,                0.11471,                 1.3111,                 3.3843,                  2.492,               0.001406,               0.001406,               0.001406
                     33,                 2.0436,                 1.6627,                 2.6917,                0.94104,                0.86567,                 0.9557,                0.62486,                  1.315,                 1.5038,                 2.3344,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.8857,                 1.6836,                  2.656,                0.98428,                0.93475,                0.98476,                0.69577,                 1.2373,                 1.2968,                  2.255,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.7442,                 1.7156,                 2.5849,                0.95671,                0.98955,                0.99412,                0.51119,                 1.4618,                 1.4875,                 2.4545,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9547,                 1.6784,                 2.6962,                0.45815,                0.73134,                0.45886,                0.25392,                 1.5703,                 2.0034,                 2.6278,              0.0013268,              0.0013268,              0.0013268
